,PROM_mom,PROM_SA,PROM_DEVIATION,CPI_SA,MIACR,CPI,MIACR_LAG,MIACR_LAG_month,MIACR_month,CPI_SA_minus_goal,RUB,RATE,CPI_LAG,dummy1,dummy2,MIACR_diff,OUTPUT_GAP,CPI_2014_2020,RUB_2010_2014,CPI_SA_corr,RATE_LAG,UNEMP,USD_LOG
2011-06-01,2.299999999999997,1.6738622705419566,1.2386219240025385,0.439260758836244,3.71,9.416461089026274,3.73,0.0030564266642594,0.0030403087768253,0.0010926075883624,0.0040682304318102,8.25,9.59112569816769,0,1,-0.02,2.9062195620233773,-0.33,0.0040682304318102,5.271129106034928,8.0,6.2,3.537221929142543
2011-07-01,0.5,-0.3091232335372953,-0.7501921844806829,0.1036337859827028,3.85,9.013072382340903,3.71,0.0030403087768253,0.0031530742084739,-0.0022636621401729,-0.0058507193099655,8.25,9.416461089026274,0,1,0.1400000000000001,1.8569231299801912,-0.33,-0.0058507193099655,1.2436054317924337,8.25,6.0,3.5412901595743533
2011-08-01,2.299999999999997,1.1989660729895075,0.7527082016774213,0.3320266084380339,3.94,8.156579819615395,3.85,0.0031530742084739,0.0032254927088173,2.0266084380338724e-05,0.0300948378463177,8.25,9.013072382340903,0,1,0.0899999999999998,2.325401167036746,-0.33,0.0300948378463177,3.984319301256407,8.25,6.4,3.535439440264388
2011-09-01,1.2999999999999972,1.001326212849648,0.5505836714474309,0.2178042162468804,4.43,7.2127302535576865,3.94,0.0032254927088173,0.00361876568744,-0.0011219578375311,0.0400338462150955,8.25,8.156579819615395,0,1,0.4899999999999997,0.9109051340467392,-0.33,0.0400338462150955,2.613650594962565,8.25,6.0,3.5655342781107056
2011-10-01,5.799999999999997,0.7974363527097861,0.3429256863364082,0.5233734907224153,4.93,7.191394386840577,4.43,0.00361876568744,0.0040183248361511,0.0019337349072241,0.0208582389775613,8.25,7.2127302535576865,0,1,0.5,-0.3874749943282669,-0.33,0.0208582389775613,6.280481888668984,8.25,6.0,3.605568124325801
2011-11-01,1.5999999999999943,1.7484944092365915,1.2909062228742425,0.3293333901979364,5.05,6.776706917235686,4.93,0.0040183248361511,0.004113959301397,-6.666098020636224e-06,-0.0211442375640138,8.25,7.191394386840577,0,1,0.1200000000000001,0.2292874992722993,-0.33,-0.0211442375640138,3.9520006823752367,8.25,6.2,3.6264263633033624
2011-12-01,6.599999999999994,-2.303832950903269,-2.763857806692956,0.2107620396734574,5.41,6.100637542215615,5.05,0.004113959301397,0.0044002630409687,-0.0011923796032654,0.0054337218377562,8.25,6.776706917235686,0,1,0.3600000000000003,0.4602462401947012,-0.33,0.0054337218377562,2.529144476081489,8.25,6.2,3.6052821257393486
2012-01-01,-15.099999999999994,3.185708497231939,2.7237484218905177,-0.0533518723540564,4.84,4.162489723480212,5.41,0.0044002630409687,0.003946533172173,-0.0038335187235405,-0.0188005169452476,8.0,6.100637542215615,0,1,-0.5700000000000003,0.004438931042253,-0.33,-0.0188005169452476,-0.6402224682486768,8.25,6.0,3.610715847577105
2012-02-01,-4.599999999999994,-3.042962831439389,-3.5063041425730668,0.2682076192674813,4.41,3.738728850423767,4.84,0.003946533172173,0.0036027468730472,-0.0006179238073251,-0.0307552914529209,8.0,4.162489723480212,0,1,-0.4299999999999997,3.260871312873772,-0.33,-0.0307552914529209,3.218491431209776,8.0,6.3,3.591915330631857
2012-03-01,11.799999999999995,1.8616991732226056,1.3973939947440632,0.1849357479096671,5.12,3.697489045673042,4.41,0.0036027468730472,0.0041696998373528,-0.0014506425209033,-0.0176848312498911,8.0,3.738728850423767,0,1,0.71,-0.2714511815110163,-0.33,-0.0176848312498911,2.219228974916005,8.0,6.2,3.561160039178936
